,zone,mean,std,min,max,var,time,spectral_index
5,5,-0.021317538691730035,0.09820655769247179,-0.24596774578094482,0.10947562009096146,0.009644527973804789,2021-02-09 04:59:41.024,NDWI
6,6,0.008679816126823425,0.07220229609652433,-0.1756756603717804,0.09947643429040909,0.005213171561610172,2021-02-09 04:59:41.024,NDWI
7,7,-0.11184755961100261,0.09432367467675787,-0.3620862364768982,0.018932873383164406,0.008896955604526854,2021-02-09 04:59:41.024,NDWI
8,8,-0.056919968128204344,0.09906272843760117,-0.331569641828537,0.06179775297641754,0.009813424165501914,2021-02-09 04:59:41.024,NDWI
9,9,0.0324007555058128,0.1283037251365875,-0.2899140417575836,0.175355464220047,0.016461845883924995,2021-02-09 04:59:41.024,NDWI
10,10,-0.05673082272211711,0.07641301467760439,-0.19206495583057404,0.040752340108156204,0.005838948812119785,2021-02-09 04:59:41.024,NDWI
11,11,-0.07528267587934222,0.07946144845096695,-0.2766970992088318,0.03259453922510147,0.006314121789925677,2021-02-09 04:59:41.024,NDWI
12,12,-0.22029079709734237,0.057530670087978214,-0.35891175270080566,-0.10253164172172546,0.0033097780007717913,2021-02-09 04:59:41.024,NDWI
13,13,-0.14944681667146228,0.12069028033203673,-0.3901515007019043,0.01170351542532444,0.014566143766625612,2021-02-09 04:59:41.024,NDWI
14,14,-0.22122832267515122,0.10248817356491877,-0.4503532946109772,-0.06695464253425598,0.010503825720672913,2021-02-09 04:59:41.024,NDWI
15,15,-0.1860593795776367,0.09529565155094566,-0.46666663885116577,-0.0661354511976242,0.009081261204519252,2021-02-09 04:59:41.024,NDWI
16,16,-0.2069333791732788,0.06879938689161696,-0.34548768401145935,-0.09869375079870224,0.004733355636662395,2021-02-09 04:59:41.024,NDWI
17,17,-0.18203468033761688,0.037094178466031975,-0.26075688004493713,-0.10953506827354431,0.0013759780760698305,2021-02-09 04:59:41.024,NDWI
18,18,-0.021919080439735863,0.086590999142989,-0.2427694946527481,0.07854049652814865,0.00749800113258112,2021-02-09 04:59:41.024,NDWI
19,19,-0.05738662589680065,0.09724836059807984,-0.31385642290115356,0.060258250683546066,0.009457243639014167,2021-02-09 04:59:41.024,NDWI
20,20,-0.1936800765991211,0.08496523860574996,-0.45214980840682983,-0.0791599228978157,0.007219091771332025,2021-02-09 04:59:41.024,NDWI
21,21,-0.37324027454151826,0.050968112922977246,-0.47625502943992615,-0.31319233775138855,0.00259774853492936,2021-02-09 04:59:41.024,NDWI
22,22,-0.3707867009299142,0.040200703647225,-0.444698691368103,-0.32342010736465454,0.0016160965737320096,2021-02-09 04:59:41.024,NDWI
0,0,0.15902582678566238,0.46092932283617366,-0.8968110084533691,0.9976018667221069,0.21245584065021358,2021-02-14 04:59:09.024,NDWI
1,1,-0.30416711660531853,0.053114912436110294,-0.4948301613330841,-0.198473259806633,0.0028211939230956638,2021-02-14 04:59:09.024,NDWI
2,2,0.14318706772544168,0.17111581756873828,-0.21927234530448914,0.42519015073776245,0.029280623022217723,2021-02-14 04:59:09.024,NDWI
3,3,0.05177002861386254,0.1911113340331886,-0.43306100368499756,0.30059880018234253,0.03652354199594499,2021-02-14 04:59:09.024,NDWI
4,4,0.1325689951578776,0.17189629830870862,-0.35285288095474243,0.3286907970905304,0.029548337372236545,2021-02-14 04:59:09.024,NDWI
5,5,0.2142222334698933,0.16829154140650754,-0.1455197036266327,0.4159544110298157,0.028322042908978242,2021-02-14 04:59:09.024,NDWI
6,6,0.0402223527431488,0.147695380404216,-0.38944727182388306,0.20060792565345764,0.021813925392746077,2021-02-14 04:59:09.024,NDWI
7,7,-0.06948797475723993,0.19332011767587004,-0.5155672430992126,0.17941178381443024,0.03737266789821224,2021-02-14 04:59:09.024,NDWI
8,8,0.11432685852050781,0.2143769074954438,-0.4105362892150879,0.42944782972335815,0.045957458467310065,2021-02-14 04:59:09.024,NDWI
9,9,-0.006297140529281215,0.1282144520228751,-0.2264048010110855,0.23695975542068481,0.01643894570752614,2021-02-14 04:59:09.024,NDWI
10,10,0.13379618326822917,0.17881887250867187,-0.22148464620113373,0.38055220246315,0.031976189165272645,2021-02-14 04:59:09.024,NDWI
11,11,-0.028539764881134033,0.12692537337158669,-0.35180461406707764,0.10284813493490219,0.016110050405516683,2021-02-14 04:59:09.024,NDWI
12,12,-0.14951988628932408,0.07727899793464407,-0.32223767042160034,0.005309725180268288,0.005972043521782724,2021-02-14 04:59:09.024,NDWI
13,13,-0.06255627813793364,0.14022760284175756,-0.3431317210197449,0.16714420914649963,0.01966378059874569,2021-02-14 04:59:09.024,NDWI
14,14,-0.2044599748426868,0.13967487618247862,-0.5419847369194031,0.02558635175228119,0.01950907103659073,2021-02-14 04:59:09.024,NDWI
15,15,0.004208830744028091,0.14359923295124813,-0.2766861617565155,0.21311473846435547,0.020620739704186826,2021-02-14 04:59:09.024,NDWI
16,16,-0.08656115531921386,0.1327993750133587,-0.3065204322338104,0.1428571492433548,0.017635674003938676,2021-02-14 04:59:09.024,NDWI
17,17,0.000446764582937414,0.13438948386293337,-0.23129715025424957,0.1690140664577484,0.01806053337294563,2021-02-14 04:59:09.024,NDWI
18,18,0.07475486222435446,0.1892450974421112,-0.28897717595100403,0.2704545557498932,0.03581370690587417,2021-02-14 04:59:09.024,NDWI
19,19,0.14391120997342197,0.15269340091137387,-0.23772859573364258,0.33232173323631287,0.023315274681881548,2021-02-14 04:59:09.024,NDWI
20,20,0.14597855567932128,0.19772097626529725,-0.27950945496559143,0.38165342807769775,0.03909358445530224,2021-02-14 04:59:09.024,NDWI
21,21,-0.3442372153787052,0.06928457452265177,-0.5115081071853638,-0.2226998656988144,0.004800352266784887,2021-02-14 04:59:09.024,NDWI
22,22,-0.3816751071384975,0.07156356228958755,-0.5108412504196167,-0.30573710799217224,0.005121343447575676,2021-02-14 04:59:09.024,NDWI
0,0,0.035294518061842736,0.3898021506407309,-0.9129959940910339,0.754646897315979,0.15194571664413908,2021-03-01 04:57:21.024,NDWI
1,1,0.024497054173396184,0.17423611580578596,-0.49051493406295776,0.21406249701976776,0.03035822405108726,2021-03-01 04:57:21.024,NDWI
2,2,0.05923352458260276,0.10185508687897035,-0.2304462343454361,0.1598864644765854,0.010374458723122598,2021-03-01 04:57:21.024,NDWI
